Problem,Print,Input,List,Tuple,Date,If,Function,For,String,While,Set,Math
0, Write a Python function that takes a sequence of numbers and determines whether all the numbers are different from each other. 
1," Write a Python program to create all possible strings by using 'a', 'e', 'i', 'o', 'u'. Use the characters exactly once. "
2, Write a Python program to remove and print every third number from a list of numbers until the list becomes empty.
3, Write a Python program to find unique triplets whose three elements gives the sum of zero from an array of n integers. 
4, Write a Python program to create the combinations of 3 digit combo. 
5," Write a Python program to print a long text, convert the string to a list and print all the words and their frequencies. "
6, Write a Python program to count the number of each character of a given text of a text file. 
7, Write a Python program to get the top stories from Google news. 
8, Write a Python program to get a list of locally installed Python modules. 
9, Write a Python program to display some information about the OS where the script is running. 
10, Write a Python program to check the sum of three elements (each from an array) from three arrays is equal to a target value. Print all those three-element combinations. 
11, Write a Python program to create all possible permutations from a given collection of distinct numbers.
12, Write a Python program to get all possible two digit letter combinations from a digit (1 to 9) string. 
13, Write a Python program to add two positive integers without using the '+' operator. 
14," Write a Python program to check the priority of the four operators (+, -, *, /). "
15, Write a Python program to get the third side of right angled triangle from two given sides. 
16, Write a Python program to get all strobogrammatic numbers that are of length n. 
17, Write a Python program to find the median among three given numbers. 
18, Write a Python program to find the value of n where n degrees of number 2 are written sequentially in a line without spaces. 
19, Write a Python program to find the number of zeros at the end of a factorial of a given positive number. 
20," Write a Python program to find the number of notes (Sample of notes: 10, 20, 50, 100, 200 and 500 ) against a given amount. "
21," Write a Python program to create a sequence where the first four members of the sequence are equal to one, and each successive term of the sequence is equal to the sum of the four previous ones. Find the Nth member of the sequence. "
22, Write a Python program that accept a positive number and subtract from this number the sum of its digits and so on. Continues this operation until the number is positive. 
23, Write a Python program to find the number of divisors of a given integer is even or odd. 
24, Write a Python program to find the digits which are absent in a given mobile number. 
25, Write a Python program to compute the summation of the absolute difference of all distinct pairs in a given array (non-decreasing order). 
26, Write a Python program to find the type of the progression (arithmetic progression/geometric progression) and the next successive member of a given three successive members of a sequence. 
27," Write a Python program to print the length of the series and the series from the given 3rd term, 3rd last term and the sum of a series. "
28, Write a Python program to find common divisors between two numbers in a given pair. 
29," Write a Python program to reverse the digits of a given number and add it to the original, If the sum is not a palindrome repeat this procedure. "
30, Write a Python program to count the number of carry operations for each of a set of addition problems. 
31, Write a python program to find heights of the top three building in descending order from eight given buildings. 
32,<br/>
33, Write a Python program to compute the digit number of sum of two given integers. 
34,<br/>
35," Write a Python program to check whether three given lengths (integers) of three sides form a right triangle. Print ""Yes"" if the given sides form a right triangle otherwise print ""No"". "
36,<br/>
37, Write a Python program which solve the equation: 
38,<br/>
39," Write a Python program to compute the amount of the debt in n months. The borrowing amount is $100,000 and the loan adds 5% interest of the debt and rounds it to the nearest 1,000 above month by month. "
40,<br/>
41," Write a Python program which reads an integer n and find the number of combinations of a,b,c and d (0 <= a,b,c,d <= 9) where (a + b + c + d) will be equal to n. "
42,<br/>
43, Write a Python program to print the number of prime numbers which are less than or equal to a given integer. 
44,<br/>
45," Write a program to compute the radius and the central coordinate (x, y) of a circle which is constructed by three given points on the plane surface. "
46,<br/>
47," Write a Python program to check whether a point (x,y) is in a triangle or not. There is a triangle formed by three points. "
48,<br/>
49," Write a Python program to compute and print sum of two given integers (more than or equal to zero). If given integers or the sum have more than 80 digits, print ""overflow"". "
50, Write a Python program that accepts six numbers as input and sorts them in descending order. 
51,<br/>
52," Write a Python program to test whether two lines PQ and RS are parallel. The four points are P(x1, y1), Q(x2, y2), R(x3, y3), S(x4, y4). "
53,<br/>
54," Write a Python program to find the maximum sum of a contiguous subsequence from a given sequence of numbers a1, a2, a3, ... an. A subsequence of one element is also a continuous subsequence. "
55,<br/>
56," There are two circles C1 with radius r1, central coordinate (x1, y1) and C2 with radius r2 and central coordinate (x2, y2). "
57,<br/>
58," Write a Python program to that reads a date (from 2016/1/1 to 2016/12/31) and prints the day of the date. Jan. 1, 2016, is Friday. Note that 2016 is a leap year. "
59,<br/>
60, Write a Python program which reads a text (only alphabetical characters and spaces.) and prints two words. The first one is the word which is arise most frequently in the text. The second one is the word which has the maximum number of letters. 
61,<br/>
62, Write a Python program that reads n digits (given) chosen from 0 to 9 and prints the number of combinations where the sum of the digits equals to another given number (s). Do not use the same digits in a combination. 
63,<br/>
64, Write a Python program which reads the two adjoined sides and the diagonal of a parallelogram and check whether the parallelogram is a rectangle or a rhombus. 
65," Write a Python program to replace a string ""Python"" with ""Java"" and ""Java"" with ""Python"" in a given string. "
66,<br/>
67, Write a Python program to find the difference between the largest integer and the smallest integer which are created by 8 numbers from 0 to 9. The number that can be rearranged shall start with 0 as in 00135668. 
68,<br/>
69, Write a Python program to compute the sum of first n given prime numbers. 
70,<br/>
71," Write a Python program that accept an even number (>=4, Goldbach number) from the user and create a combinations that express the given number as a sum of two prime numbers. Print the number of combinations. "
72," if you draw a straight line on a plane, the plane is divided into two regions. For example, if you pull two straight lines in parallel, you get three areas, and if you draw vertically one to the other you get 4 areas."
73,<br/>
74," There are four different points on a plane, P(x"
75,<br/>
76, Write a Python program to sum of all numerical values (positive integers) embedded in a sentence. 
77,<br/>
78," There are 10 vertical and horizontal squares on a plane. Each square is painted blue and green. Blue represents the sea, and green represents the land. When two green squares are in contact with the top and bottom, or right and left, they are said to be ground. The area created by only one green square is called ""island"". For example, there are five islands in the figure below. "
79,<br/>
80," When character are consecutive in a string , it is possible to shorten the character string by replacing the character with a certain rule. For example, in the case of the character string YYYYY, if it is expressed as # 5 Y, it is compressed by one character. "
81,<br/>
82," A convex polygon is a simple polygon in which no line segment between two points on the boundary ever goes outside the polygon. Equivalently, it is a simple polygon whose interior is a convex set. In a convex polygon, all interior angles are less than or equal to 180 degrees, while in a strictly convex polygon all interior angles are strictly less than 180 degrees. "
83,<br/>
84," Internet search engine giant, such as Google accepts web pages around the world and classify them, creating a huge database. The search engines also analyze the search keywords entered by the user and create inquiries for database search. In both cases, complicated processing is carried out in order to realize efficient retrieval, but basics are all cutting out words from sentences. "
85,<br/>
86," Arrange integers (0 to 99) as narrow hilltop, as illustrated in Figure 1. Reading such data representing huge, when starting from the top and proceeding according to the next rule to the bottom. Write a Python program that compute the maximum value of the sum of the passing integers. "
87,<br/>
88," Write a Python program to find the number of combinations that satisfy p + q + r + s = n where n is a given number <= 4000 and p, q, r, s in the range of 0 to 1000. "
89, Write a Python program which adds up columns and rows of given table as shown in the specified figure. 
90," Given a list of numbers and a number k, write a Python program to check whether the sum of any two numbers from the list is equal to k or not. "
91," In mathematics, a subsequence is a sequence that can be derived from another sequence by deleting some or no elements without changing the order of the remaining elements. For example, the sequence (A,B,D) is a subsequence of (A,B,C,D,E,F) obtained after removal of elements C, E, and F. The relation of one sequence being the subsequence of another is a preorder."
92," From Wikipedia, the free encyclopaedia:"
93," From Wikipedia,"
94, Write a Python program to count the number of prime numbers less than a given non-negative number. 
95," In abstract algebra, a group isomorphism is a function between two groups that sets up a one-to-one correspondence between the elements of the groups in a way that respects the given group operations. If there exists an isomorphism between two groups, then the groups are called isomorphic."
96, Write a Python program to find the longest common prefix string amongst a given array of strings. Return false If there is no common prefix.
97, Write a Python program to reverse only the vowels of a given string. 
98, Write a Python program to check whether a given integer is a palindrome or not. 
99, Write a Python program to remove the duplicate elements of a given array of numbers such that each element appear only once and return the new length of the given array. 
100, Write a Python program to calculate the maximum profit from selling and buying values of stock. An array of numbers represent the stock prices in chronological order. 
101, Write a Python program to remove all instances of a given value from a given array of integers and find the length of the new array. 
102," Write a Python program to find the starting and ending position of a given value in a given array of integers, sorted in ascending order. "
103, The price of a given stock on each day is stored in an array. 
